#x/c    cp upp x/c     cp low
0.0000 -2.3938 0.0000 -2.3938
0.0135 -3.8803 0.0122  0.9863
0.0271 -2.9668 0.0251  0.9543
0.0515 -2.3162 0.0510  0.7384
0.0763 -1.9884 0.0755  0.5914
0.1012 -1.7245 0.1000  0.4774
0.1503 -1.3903 0.1504  0.3276
0.1994 -1.1922 0.2004  0.2294
0.2501 -1.0278 0.2501  0.1686
0.2999 -0.8996 0.3002  0.1311
0.3499 -0.7865 0.3507  0.0988
0.3994 -0.6937 0.4000  0.0751
0.4496 -0.6044 0.4503  0.0627
0.4997 -0.5364 0.5000  0.0459
0.5492 -0.4546 0.5506  0.0397
0.5994 -0.3846 0.5997  0.0413
0.6495 -0.3210 0.6502  0.0389
0.6996 -0.2626 0.7003  0.0389
0.7489 -0.2153 0.7497  0.0303
0.8003 -0.1460 0.7998  0.0416
0.8500 -0.0852 0.8503  0.0402
0.8993 -0.0178 0.9000  0.0335
0.9489  0.0475 0.9483  0.0691
