#x/c    cp upp x/c     cp low
0.0000  1.0029 0.0000  1.0029
0.0135 -0.0047 0.0122 -0.0181
0.0271 -0.2347 0.0251 -0.2626
0.0513 -0.3617 0.0510 -0.3830
0.0763 -0.4026 0.0755 -0.4112
0.1012 -0.4263 0.1000 -0.4375
0.1503 -0.4106 0.1504 -0.4400
0.1994 -0.4022 0.2004 -0.4151
0.2501 -0.3760 0.2501 -0.3904
0.2999 -0.3516 0.3002 -0.3603
0.3499 -0.3231 0.3507 -0.3320
0.3994 -0.3007 0.4000 -0.3098
0.4496 -0.2668 0.4503 -0.2730
0.4997 -0.2449 0.5000 -0.2520
0.5492 -0.2077 0.5506 -0.2222
0.5994 -0.1885 0.5997 -0.1978
0.6495 -0.1547 0.6502 -0.1682
0.6995 -0.1279 0.7003 -0.1324
0.7489 -0.1093 0.7497 -0.1125
0.8003 -0.0659 0.7998 -0.0679
0.8500 -0.0347 0.8503 -0.0383
0.8993  0.0158 0.9000 -0.0013
0.9489  0.0597 0.9483  0.0657
